unique_id_l,source_dataset_l,unique_id_r,source_dataset_r,clerical_match_score
0,fake_1000,1,fake_1000,1.0
0,fake_1000,2,fake_1000,1.0
0,fake_1000,3,fake_1000,1.0
0,fake_1000,4,fake_1000,0.0
0,fake_1000,5,fake_1000,0.0
0,fake_1000,6,fake_1000,0.0
0,fake_1000,7,fake_1000,0.0
0,fake_1000,8,fake_1000,0.0
0,fake_1000,9,fake_1000,0.0
0,fake_1000,10,fake_1000,0.0
0,fake_1000,11,fake_1000,0.0
0,fake_1000,12,fake_1000,0.0
0,fake_1000,13,fake_1000,0.0
0,fake_1000,14,fake_1000,0.0
0,fake_1000,15,fake_1000,0.0
0,fake_1000,16,fake_1000,0.0
0,fake_1000,17,fake_1000,0.0
0,fake_1000,18,fake_1000,0.0
0,fake_1000,19,fake_1000,0.0
0,fake_1000,20,fake_1000,0.0
0,fake_1000,21,fake_1000,0.0
0,fake_1000,22,fake_1000,0.0
0,fake_1000,23,fake_1000,0.0
0,fake_1000,24,fake_1000,0.0
0,fake_1000,25,fake_1000,0.0
0,fake_1000,26,fake_1000,0.0
0,fake_1000,27,fake_1000,0.0
0,fake_1000,28,fake_1000,0.0
0,fake_1000,29,fake_1000,0.0
0,fake_1000,30,fake_1000,0.0
0,fake_1000,31,fake_1000,0.0
0,fake_1000,32,fake_1000,0.0
0,fake_1000,33,fake_1000,0.0
0,fake_1000,34,fake_1000,0.0
0,fake_1000,35,fake_1000,0.0
0,fake_1000,36,fake_1000,0.0
0,fake_1000,37,fake_1000,0.0
0,fake_1000,38,fake_1000,0.0
0,fake_1000,39,fake_1000,0.0
0,fake_1000,40,fake_1000,0.0
0,fake_1000,41,fake_1000,0.0
0,fake_1000,42,fake_1000,0.0
0,fake_1000,43,fake_1000,0.0
0,fake_1000,44,fake_1000,0.0
0,fake_1000,45,fake_1000,0.0
0,fake_1000,46,fake_1000,0.0
0,fake_1000,47,fake_1000,0.0
0,fake_1000,48,fake_1000,0.0
0,fake_1000,49,fake_1000,0.0
1,fake_1000,2,fake_1000,1.0
1,fake_1000,3,fake_1000,1.0
1,fake_1000,4,fake_1000,0.0
1,fake_1000,5,fake_1000,0.0
1,fake_1000,6,fake_1000,0.0
1,fake_1000,7,fake_1000,0.0
1,fake_1000,8,fake_1000,0.0
1,fake_1000,9,fake_1000,0.0
1,fake_1000,10,fake_1000,0.0
1,fake_1000,11,fake_1000,0.0
1,fake_1000,12,fake_1000,0.0
1,fake_1000,13,fake_1000,0.0
1,fake_1000,14,fake_1000,0.0
1,fake_1000,15,fake_1000,0.0
1,fake_1000,16,fake_1000,0.0
1,fake_1000,17,fake_1000,0.0
1,fake_1000,18,fake_1000,0.0
1,fake_1000,19,fake_1000,0.0
1,fake_1000,20,fake_1000,0.0
1,fake_1000,21,fake_1000,0.0
1,fake_1000,22,fake_1000,0.0
1,fake_1000,23,fake_1000,0.0
1,fake_1000,24,fake_1000,0.0
1,fake_1000,25,fake_1000,0.0
1,fake_1000,26,fake_1000,0.0
1,fake_1000,27,fake_1000,0.0
1,fake_1000,28,fake_1000,0.0
1,fake_1000,29,fake_1000,0.0
1,fake_1000,30,fake_1000,0.0
1,fake_1000,31,fake_1000,0.0
1,fake_1000,32,fake_1000,0.0
1,fake_1000,33,fake_1000,0.0
1,fake_1000,34,fake_1000,0.0
1,fake_1000,35,fake_1000,0.0
1,fake_1000,36,fake_1000,0.0
1,fake_1000,37,fake_1000,0.0
1,fake_1000,38,fake_1000,0.0
1,fake_1000,39,fake_1000,0.0
1,fake_1000,40,fake_1000,0.0
1,fake_1000,41,fake_1000,0.0
1,fake_1000,42,fake_1000,0.0
1,fake_1000,43,fake_1000,0.0
1,fake_1000,44,fake_1000,0.0
1,fake_1000,45,fake_1000,0.0
1,fake_1000,46,fake_1000,0.0
1,fake_1000,47,fake_1000,0.0
1,fake_1000,48,fake_1000,0.0
1,fake_1000,49,fake_1000,0.0
2,fake_1000,3,fake_1000,1.0
2,fake_1000,4,fake_1000,0.0
2,fake_1000,5,fake_1000,0.0
2,fake_1000,6,fake_1000,0.0
2,fake_1000,7,fake_1000,0.0
2,fake_1000,8,fake_1000,0.0
2,fake_1000,9,fake_1000,0.0
2,fake_1000,10,fake_1000,0.0
2,fake_1000,11,fake_1000,0.0
2,fake_1000,12,fake_1000,0.0
2,fake_1000,13,fake_1000,0.0
2,fake_1000,14,fake_1000,0.0
2,fake_1000,15,fake_1000,0.0
2,fake_1000,16,fake_1000,0.0
2,fake_1000,17,fake_1000,0.0
2,fake_1000,18,fake_1000,0.0
2,fake_1000,19,fake_1000,0.0
2,fake_1000,20,fake_1000,0.0
2,fake_1000,21,fake_1000,0.0
2,fake_1000,22,fake_1000,0.0
2,fake_1000,23,fake_1000,0.0
2,fake_1000,24,fake_1000,0.0
2,fake_1000,25,fake_1000,0.0
2,fake_1000,26,fake_1000,0.0
2,fake_1000,27,fake_1000,0.0
2,fake_1000,28,fake_1000,0.0
2,fake_1000,29,fake_1000,0.0
2,fake_1000,30,fake_1000,0.0
2,fake_1000,31,fake_1000,0.0
2,fake_1000,32,fake_1000,0.0
2,fake_1000,33,fake_1000,0.0
2,fake_1000,34,fake_1000,0.0
2,fake_1000,35,fake_1000,0.0
2,fake_1000,36,fake_1000,0.0
2,fake_1000,37,fake_1000,0.0
2,fake_1000,38,fake_1000,0.0
2,fake_1000,39,fake_1000,0.0
2,fake_1000,40,fake_1000,0.0
2,fake_1000,41,fake_1000,0.0
2,fake_1000,42,fake_1000,0.0
2,fake_1000,43,fake_1000,0.0
2,fake_1000,44,fake_1000,0.0
2,fake_1000,45,fake_1000,0.0
2,fake_1000,46,fake_1000,0.0
2,fake_1000,47,fake_1000,0.0
2,fake_1000,48,fake_1000,0.0
2,fake_1000,49,fake_1000,0.0
3,fake_1000,4,fake_1000,0.0
3,fake_1000,5,fake_1000,0.0
3,fake_1000,6,fake_1000,0.0
3,fake_1000,7,fake_1000,0.0
3,fake_1000,8,fake_1000,0.0
3,fake_1000,9,fake_1000,0.0
3,fake_1000,10,fake_1000,0.0
3,fake_1000,11,fake_1000,0.0
3,fake_1000,12,fake_1000,0.0
3,fake_1000,13,fake_1000,0.0
3,fake_1000,14,fake_1000,0.0
3,fake_1000,15,fake_1000,0.0
3,fake_1000,16,fake_1000,0.0
3,fake_1000,17,fake_1000,0.0
3,fake_1000,18,fake_1000,0.0
3,fake_1000,19,fake_1000,0.0
3,fake_1000,20,fake_1000,0.0
3,fake_1000,21,fake_1000,0.0
3,fake_1000,22,fake_1000,0.0
3,fake_1000,23,fake_1000,0.0
3,fake_1000,24,fake_1000,0.0
3,fake_1000,25,fake_1000,0.0
3,fake_1000,26,fake_1000,0.0
3,fake_1000,27,fake_1000,0.0
3,fake_1000,28,fake_1000,0.0
3,fake_1000,29,fake_1000,0.0
3,fake_1000,30,fake_1000,0.0
3,fake_1000,31,fake_1000,0.0
3,fake_1000,32,fake_1000,0.0
3,fake_1000,33,fake_1000,0.0
3,fake_1000,34,fake_1000,0.0
3,fake_1000,35,fake_1000,0.0
3,fake_1000,36,fake_1000,0.0
3,fake_1000,37,fake_1000,0.0
3,fake_1000,38,fake_1000,0.0
3,fake_1000,39,fake_1000,0.0
3,fake_1000,40,fake_1000,0.0
3,fake_1000,41,fake_1000,0.0
3,fake_1000,42,fake_1000,0.0
3,fake_1000,43,fake_1000,0.0
3,fake_1000,44,fake_1000,0.0
3,fake_1000,45,fake_1000,0.0
3,fake_1000,46,fake_1000,0.0
3,fake_1000,47,fake_1000,0.0
3,fake_1000,48,fake_1000,0.0
3,fake_1000,49,fake_1000,0.0
4,fake_1000,5,fake_1000,1.0
4,fake_1000,6,fake_1000,0.0
4,fake_1000,7,fake_1000,0.0
4,fake_1000,8,fake_1000,0.0
4,fake_1000,9,fake_1000,0.0
4,fake_1000,10,fake_1000,0.0
4,fake_1000,11,fake_1000,0.0
4,fake_1000,12,fake_1000,0.0
4,fake_1000,13,fake_1000,0.0
4,fake_1000,14,fake_1000,0.0
4,fake_1000,15,fake_1000,0.0
4,fake_1000,16,fake_1000,0.0
4,fake_1000,17,fake_1000,0.0
4,fake_1000,18,fake_1000,0.0
4,fake_1000,19,fake_1000,0.0
4,fake_1000,20,fake_1000,0.0
4,fake_1000,21,fake_1000,0.0
4,fake_1000,22,fake_1000,0.0
4,fake_1000,23,fake_1000,0.0
4,fake_1000,24,fake_1000,0.0
4,fake_1000,25,fake_1000,0.0
4,fake_1000,26,fake_1000,0.0
4,fake_1000,27,fake_1000,0.0
4,fake_1000,28,fake_1000,0.0
4,fake_1000,29,fake_1000,0.0
4,fake_1000,30,fake_1000,0.0
4,fake_1000,31,fake_1000,0.0
4,fake_1000,32,fake_1000,0.0
4,fake_1000,33,fake_1000,0.0
4,fake_1000,34,fake_1000,0.0
4,fake_1000,35,fake_1000,0.0
4,fake_1000,36,fake_1000,0.0
4,fake_1000,37,fake_1000,0.0
4,fake_1000,38,fake_1000,0.0
4,fake_1000,39,fake_1000,0.0
4,fake_1000,40,fake_1000,0.0
4,fake_1000,41,fake_1000,0.0
4,fake_1000,42,fake_1000,0.0
4,fake_1000,43,fake_1000,0.0
4,fake_1000,44,fake_1000,0.0
4,fake_1000,45,fake_1000,0.0
4,fake_1000,46,fake_1000,0.0
4,fake_1000,47,fake_1000,0.0
4,fake_1000,48,fake_1000,0.0
4,fake_1000,49,fake_1000,0.0
5,fake_1000,6,fake_1000,0.0
5,fake_1000,7,fake_1000,0.0
5,fake_1000,8,fake_1000,0.0
5,fake_1000,9,fake_1000,0.0
5,fake_1000,10,fake_1000,0.0
5,fake_1000,11,fake_1000,0.0
5,fake_1000,12,fake_1000,0.0
5,fake_1000,13,fake_1000,0.0
5,fake_1000,14,fake_1000,0.0
5,fake_1000,15,fake_1000,0.0
5,fake_1000,16,fake_1000,0.0
5,fake_1000,17,fake_1000,0.0
5,fake_1000,18,fake_1000,0.0
5,fake_1000,19,fake_1000,0.0
5,fake_1000,20,fake_1000,0.0
5,fake_1000,21,fake_1000,0.0
5,fake_1000,22,fake_1000,0.0
5,fake_1000,23,fake_1000,0.0
5,fake_1000,24,fake_1000,0.0
5,fake_1000,25,fake_1000,0.0
5,fake_1000,26,fake_1000,0.0
5,fake_1000,27,fake_1000,0.0
5,fake_1000,28,fake_1000,0.0
5,fake_1000,29,fake_1000,0.0
5,fake_1000,30,fake_1000,0.0
5,fake_1000,31,fake_1000,0.0
5,fake_1000,32,fake_1000,0.0
5,fake_1000,33,fake_1000,0.0
5,fake_1000,34,fake_1000,0.0
5,fake_1000,35,fake_1000,0.0
5,fake_1000,36,fake_1000,0.0
5,fake_1000,37,fake_1000,0.0
5,fake_1000,38,fake_1000,0.0
5,fake_1000,39,fake_1000,0.0
5,fake_1000,40,fake_1000,0.0
5,fake_1000,41,fake_1000,0.0
5,fake_1000,42,fake_1000,0.0
5,fake_1000,43,fake_1000,0.0
5,fake_1000,44,fake_1000,0.0
5,fake_1000,45,fake_1000,0.0
5,fake_1000,46,fake_1000,0.0
5,fake_1000,47,fake_1000,0.0
5,fake_1000,48,fake_1000,0.0
5,fake_1000,49,fake_1000,0.0
6,fake_1000,7,fake_1000,0.0
6,fake_1000,8,fake_1000,0.0
6,fake_1000,9,fake_1000,0.0
6,fake_1000,10,fake_1000,0.0
6,fake_1000,11,fake_1000,0.0
6,fake_1000,12,fake_1000,0.0
6,fake_1000,13,fake_1000,0.0
6,fake_1000,14,fake_1000,0.0
6,fake_1000,15,fake_1000,0.0
6,fake_1000,16,fake_1000,0.0
6,fake_1000,17,fake_1000,0.0
6,fake_1000,18,fake_1000,0.0
6,fake_1000,19,fake_1000,0.0
6,fake_1000,20,fake_1000,0.0
6,fake_1000,21,fake_1000,0.0
6,fake_1000,22,fake_1000,0.0
6,fake_1000,23,fake_1000,0.0
6,fake_1000,24,fake_1000,0.0
6,fake_1000,25,fake_1000,0.0
6,fake_1000,26,fake_1000,0.0
6,fake_1000,27,fake_1000,0.0
6,fake_1000,28,fake_1000,0.0
6,fake_1000,29,fake_1000,0.0
6,fake_1000,30,fake_1000,0.0
6,fake_1000,31,fake_1000,0.0
6,fake_1000,32,fake_1000,0.0
6,fake_1000,33,fake_1000,0.0
6,fake_1000,34,fake_1000,0.0
6,fake_1000,35,fake_1000,0.0
6,fake_1000,36,fake_1000,0.0
6,fake_1000,37,fake_1000,0.0
6,fake_1000,38,fake_1000,0.0
6,fake_1000,39,fake_1000,0.0
6,fake_1000,40,fake_1000,0.0
6,fake_1000,41,fake_1000,0.0
6,fake_1000,42,fake_1000,0.0
6,fake_1000,43,fake_1000,0.0
6,fake_1000,44,fake_1000,0.0
6,fake_1000,45,fake_1000,0.0
6,fake_1000,46,fake_1000,0.0
6,fake_1000,47,fake_1000,0.0
6,fake_1000,48,fake_1000,0.0
6,fake_1000,49,fake_1000,0.0
7,fake_1000,8,fake_1000,1.0
7,fake_1000,9,fake_1000,1.0
7,fake_1000,10,fake_1000,1.0
7,fake_1000,11,fake_1000,0.0
7,fake_1000,12,fake_1000,0.0
7,fake_1000,13,fake_1000,0.0
7,fake_1000,14,fake_1000,0.0
7,fake_1000,15,fake_1000,0.0
7,fake_1000,16,fake_1000,0.0
7,fake_1000,17,fake_1000,0.0
7,fake_1000,18,fake_1000,0.0
7,fake_1000,19,fake_1000,0.0
7,fake_1000,20,fake_1000,0.0
7,fake_1000,21,fake_1000,0.0
7,fake_1000,22,fake_1000,0.0
7,fake_1000,23,fake_1000,0.0
7,fake_1000,24,fake_1000,0.0
7,fake_1000,25,fake_1000,0.0
7,fake_1000,26,fake_1000,0.0
7,fake_1000,27,fake_1000,0.0
7,fake_1000,28,fake_1000,0.0
7,fake_1000,29,fake_1000,0.0
7,fake_1000,30,fake_1000,0.0
7,fake_1000,31,fake_1000,0.0
7,fake_1000,32,fake_1000,0.0
7,fake_1000,33,fake_1000,0.0
7,fake_1000,34,fake_1000,0.0
7,fake_1000,35,fake_1000,0.0
7,fake_1000,36,fake_1000,0.0
7,fake_1000,37,fake_1000,0.0
7,fake_1000,38,fake_1000,0.0
7,fake_1000,39,fake_1000,0.0
7,fake_1000,40,fake_1000,0.0
7,fake_1000,41,fake_1000,0.0
7,fake_1000,42,fake_1000,0.0
7,fake_1000,43,fake_1000,0.0
7,fake_1000,44,fake_1000,0.0
7,fake_1000,45,fake_1000,0.0
7,fake_1000,46,fake_1000,0.0
7,fake_1000,47,fake_1000,0.0
7,fake_1000,48,fake_1000,0.0
7,fake_1000,49,fake_1000,0.0
8,fake_1000,9,fake_1000,1.0
8,fake_1000,10,fake_1000,1.0
8,fake_1000,11,fake_1000,0.0
8,fake_1000,12,fake_1000,0.0
8,fake_1000,13,fake_1000,0.0
8,fake_1000,14,fake_1000,0.0
8,fake_1000,15,fake_1000,0.0
8,fake_1000,16,fake_1000,0.0
8,fake_1000,17,fake_1000,0.0
8,fake_1000,18,fake_1000,0.0
8,fake_1000,19,fake_1000,0.0
8,fake_1000,20,fake_1000,0.0
8,fake_1000,21,fake_1000,0.0
8,fake_1000,22,fake_1000,0.0
8,fake_1000,23,fake_1000,0.0
8,fake_1000,24,fake_1000,0.0
8,fake_1000,25,fake_1000,0.0
8,fake_1000,26,fake_1000,0.0
8,fake_1000,27,fake_1000,0.0
8,fake_1000,28,fake_1000,0.0
8,fake_1000,29,fake_1000,0.0
8,fake_1000,30,fake_1000,0.0
8,fake_1000,31,fake_1000,0.0
8,fake_1000,32,fake_1000,0.0
8,fake_1000,33,fake_1000,0.0
8,fake_1000,34,fake_1000,0.0
8,fake_1000,35,fake_1000,0.0
8,fake_1000,36,fake_1000,0.0
8,fake_1000,37,fake_1000,0.0
8,fake_1000,38,fake_1000,0.0
8,fake_1000,39,fake_1000,0.0
8,fake_1000,40,fake_1000,0.0
8,fake_1000,41,fake_1000,0.0
8,fake_1000,42,fake_1000,0.0
8,fake_1000,43,fake_1000,0.0
8,fake_1000,44,fake_1000,0.0
8,fake_1000,45,fake_1000,0.0
8,fake_1000,46,fake_1000,0.0
8,fake_1000,47,fake_1000,0.0
8,fake_1000,48,fake_1000,0.0
8,fake_1000,49,fake_1000,0.0
9,fake_1000,10,fake_1000,1.0
9,fake_1000,11,fake_1000,0.0
9,fake_1000,12,fake_1000,0.0
9,fake_1000,13,fake_1000,0.0
9,fake_1000,14,fake_1000,0.0
9,fake_1000,15,fake_1000,0.0
9,fake_1000,16,fake_1000,0.0
9,fake_1000,17,fake_1000,0.0
9,fake_1000,18,fake_1000,0.0
9,fake_1000,19,fake_1000,0.0
9,fake_1000,20,fake_1000,0.0
9,fake_1000,21,fake_1000,0.0
9,fake_1000,22,fake_1000,0.0
9,fake_1000,23,fake_1000,0.0
9,fake_1000,24,fake_1000,0.0
9,fake_1000,25,fake_1000,0.0
9,fake_1000,26,fake_1000,0.0
9,fake_1000,27,fake_1000,0.0
9,fake_1000,28,fake_1000,0.0
9,fake_1000,29,fake_1000,0.0
9,fake_1000,30,fake_1000,0.0
9,fake_1000,31,fake_1000,0.0
9,fake_1000,32,fake_1000,0.0
9,fake_1000,33,fake_1000,0.0
9,fake_1000,34,fake_1000,0.0
9,fake_1000,35,fake_1000,0.0
9,fake_1000,36,fake_1000,0.0
9,fake_1000,37,fake_1000,0.0
9,fake_1000,38,fake_1000,0.0
9,fake_1000,39,fake_1000,0.0
9,fake_1000,40,fake_1000,0.0
9,fake_1000,41,fake_1000,0.0
9,fake_1000,42,fake_1000,0.0
9,fake_1000,43,fake_1000,0.0
9,fake_1000,44,fake_1000,0.0
9,fake_1000,45,fake_1000,0.0
9,fake_1000,46,fake_1000,0.0
9,fake_1000,47,fake_1000,0.0
9,fake_1000,48,fake_1000,0.0
9,fake_1000,49,fake_1000,0.0
10,fake_1000,11,fake_1000,0.0
10,fake_1000,12,fake_1000,0.0
10,fake_1000,13,fake_1000,0.0
10,fake_1000,14,fake_1000,0.0
10,fake_1000,15,fake_1000,0.0
10,fake_1000,16,fake_1000,0.0
10,fake_1000,17,fake_1000,0.0
10,fake_1000,18,fake_1000,0.0
10,fake_1000,19,fake_1000,0.0
10,fake_1000,20,fake_1000,0.0
10,fake_1000,21,fake_1000,0.0
10,fake_1000,22,fake_1000,0.0
10,fake_1000,23,fake_1000,0.0
10,fake_1000,24,fake_1000,0.0
10,fake_1000,25,fake_1000,0.0
10,fake_1000,26,fake_1000,0.0
10,fake_1000,27,fake_1000,0.0
10,fake_1000,28,fake_1000,0.0
10,fake_1000,29,fake_1000,0.0
10,fake_1000,30,fake_1000,0.0
10,fake_1000,31,fake_1000,0.0
10,fake_1000,32,fake_1000,0.0
10,fake_1000,33,fake_1000,0.0
10,fake_1000,34,fake_1000,0.0
10,fake_1000,35,fake_1000,0.0
10,fake_1000,36,fake_1000,0.0
10,fake_1000,37,fake_1000,0.0
10,fake_1000,38,fake_1000,0.0
10,fake_1000,39,fake_1000,0.0
10,fake_1000,40,fake_1000,0.0
10,fake_1000,41,fake_1000,0.0
10,fake_1000,42,fake_1000,0.0
10,fake_1000,43,fake_1000,0.0
10,fake_1000,44,fake_1000,0.0
10,fake_1000,45,fake_1000,0.0
10,fake_1000,46,fake_1000,0.0
10,fake_1000,47,fake_1000,0.0
10,fake_1000,48,fake_1000,0.0
10,fake_1000,49,fake_1000,0.0
11,fake_1000,12,fake_1000,1.0
11,fake_1000,13,fake_1000,1.0
11,fake_1000,14,fake_1000,0.0
11,fake_1000,15,fake_1000,0.0
11,fake_1000,16,fake_1000,0.0
11,fake_1000,17,fake_1000,0.0
11,fake_1000,18,fake_1000,0.0
11,fake_1000,19,fake_1000,0.0
11,fake_1000,20,fake_1000,0.0
11,fake_1000,21,fake_1000,0.0
11,fake_1000,22,fake_1000,0.0
11,fake_1000,23,fake_1000,0.0
11,fake_1000,24,fake_1000,0.0
11,fake_1000,25,fake_1000,0.0
11,fake_1000,26,fake_1000,0.0
11,fake_1000,27,fake_1000,0.0
11,fake_1000,28,fake_1000,0.0
11,fake_1000,29,fake_1000,0.0
11,fake_1000,30,fake_1000,0.0
11,fake_1000,31,fake_1000,0.0
11,fake_1000,32,fake_1000,0.0
11,fake_1000,33,fake_1000,0.0
11,fake_1000,34,fake_1000,0.0
11,fake_1000,35,fake_1000,0.0
11,fake_1000,36,fake_1000,0.0
11,fake_1000,37,fake_1000,0.0
11,fake_1000,38,fake_1000,0.0
11,fake_1000,39,fake_1000,0.0
11,fake_1000,40,fake_1000,0.0
11,fake_1000,41,fake_1000,0.0
11,fake_1000,42,fake_1000,0.0
11,fake_1000,43,fake_1000,0.0
11,fake_1000,44,fake_1000,0.0
11,fake_1000,45,fake_1000,0.0
11,fake_1000,46,fake_1000,0.0
11,fake_1000,47,fake_1000,0.0
11,fake_1000,48,fake_1000,0.0
11,fake_1000,49,fake_1000,0.0
12,fake_1000,13,fake_1000,1.0
12,fake_1000,14,fake_1000,0.0
12,fake_1000,15,fake_1000,0.0
12,fake_1000,16,fake_1000,0.0
12,fake_1000,17,fake_1000,0.0
12,fake_1000,18,fake_1000,0.0
12,fake_1000,19,fake_1000,0.0
12,fake_1000,20,fake_1000,0.0
12,fake_1000,21,fake_1000,0.0
12,fake_1000,22,fake_1000,0.0
12,fake_1000,23,fake_1000,0.0
12,fake_1000,24,fake_1000,0.0
12,fake_1000,25,fake_1000,0.0
12,fake_1000,26,fake_1000,0.0
12,fake_1000,27,fake_1000,0.0
12,fake_1000,28,fake_1000,0.0
12,fake_1000,29,fake_1000,0.0
12,fake_1000,30,fake_1000,0.0
12,fake_1000,31,fake_1000,0.0
12,fake_1000,32,fake_1000,0.0
12,fake_1000,33,fake_1000,0.0
12,fake_1000,34,fake_1000,0.0
12,fake_1000,35,fake_1000,0.0
12,fake_1000,36,fake_1000,0.0
12,fake_1000,37,fake_1000,0.0
12,fake_1000,38,fake_1000,0.0
12,fake_1000,39,fake_1000,0.0
12,fake_1000,40,fake_1000,0.0
12,fake_1000,41,fake_1000,0.0
12,fake_1000,42,fake_1000,0.0
12,fake_1000,43,fake_1000,0.0
12,fake_1000,44,fake_1000,0.0
12,fake_1000,45,fake_1000,0.0
12,fake_1000,46,fake_1000,0.0
12,fake_1000,47,fake_1000,0.0
12,fake_1000,48,fake_1000,0.0
12,fake_1000,49,fake_1000,0.0
13,fake_1000,14,fake_1000,0.0
13,fake_1000,15,fake_1000,0.0
13,fake_1000,16,fake_1000,0.0
13,fake_1000,17,fake_1000,0.0
13,fake_1000,18,fake_1000,0.0
13,fake_1000,19,fake_1000,0.0
13,fake_1000,20,fake_1000,0.0
13,fake_1000,21,fake_1000,0.0
13,fake_1000,22,fake_1000,0.0
13,fake_1000,23,fake_1000,0.0
13,fake_1000,24,fake_1000,0.0
13,fake_1000,25,fake_1000,0.0
13,fake_1000,26,fake_1000,0.0
13,fake_1000,27,fake_1000,0.0
13,fake_1000,28,fake_1000,0.0
13,fake_1000,29,fake_1000,0.0
13,fake_1000,30,fake_1000,0.0
13,fake_1000,31,fake_1000,0.0
13,fake_1000,32,fake_1000,0.0
13,fake_1000,33,fake_1000,0.0
13,fake_1000,34,fake_1000,0.0
13,fake_1000,35,fake_1000,0.0
13,fake_1000,36,fake_1000,0.0
13,fake_1000,37,fake_1000,0.0
13,fake_1000,38,fake_1000,0.0
13,fake_1000,39,fake_1000,0.0
13,fake_1000,40,fake_1000,0.0
13,fake_1000,41,fake_1000,0.0
13,fake_1000,42,fake_1000,0.0
13,fake_1000,43,fake_1000,0.0
13,fake_1000,44,fake_1000,0.0
13,fake_1000,45,fake_1000,0.0
13,fake_1000,46,fake_1000,0.0
13,fake_1000,47,fake_1000,0.0
13,fake_1000,48,fake_1000,0.0
13,fake_1000,49,fake_1000,0.0
14,fake_1000,15,fake_1000,0.0
14,fake_1000,16,fake_1000,0.0
14,fake_1000,17,fake_1000,0.0
14,fake_1000,18,fake_1000,0.0
14,fake_1000,19,fake_1000,0.0
14,fake_1000,20,fake_1000,0.0
14,fake_1000,21,fake_1000,0.0
14,fake_1000,22,fake_1000,0.0
14,fake_1000,23,fake_1000,0.0
14,fake_1000,24,fake_1000,0.0
14,fake_1000,25,fake_1000,0.0
14,fake_1000,26,fake_1000,0.0
14,fake_1000,27,fake_1000,0.0
14,fake_1000,28,fake_1000,0.0
14,fake_1000,29,fake_1000,0.0
14,fake_1000,30,fake_1000,0.0
14,fake_1000,31,fake_1000,0.0
14,fake_1000,32,fake_1000,0.0
14,fake_1000,33,fake_1000,0.0
14,fake_1000,34,fake_1000,0.0
14,fake_1000,35,fake_1000,0.0
14,fake_1000,36,fake_1000,0.0
14,fake_1000,37,fake_1000,0.0
14,fake_1000,38,fake_1000,0.0
